Month,Country,State,Lat,Long,Confirmed,Recovered,Deaths
Jan,Afghanistan,,33.93911,67.709953,0,0,0
Feb,Afghanistan,,33.93911,67.709953,1,0,0
Mar,Afghanistan,,33.93911,67.709953,174,5,4
Apr,Afghanistan,,33.93911,67.709953,2171,260,64
May,Afghanistan,,33.93911,67.709953,15205,1328,257
Jun,Afghanistan,,33.93911,67.709953,31517,14131,746
Jul,,Afghanistan,,33.93911,67.709953,36036,24793,1248
Jan,Albania,,41.1533,20.1683,0,0,0
Feb,Albania,,41.1533,20.1683,0,0,0
Mar,Albania,,41.1533,20.1683,243,52,15
Apr,Albania,,41.1533,20.1683,773,470,31
May,Albania,,41.1533,20.1683,1137,872,33
Jun,Albania,,41.1533,20.1683,2535,1459,62
Jul,,Albania,,41.1533,20.1683,4637,2637,134
Jan,Algeria,,28.0339,1.6596,0,0,0
Feb,Algeria,,28.0339,1.6596,1,0,0
Mar,Algeria,,28.0339,1.6596,716,46,44
Apr,Algeria,,28.0339,1.6596,4006,1779,450
May,Algeria,,28.0339,1.6596,9394,5748,653
Jun,Algeria,,28.0339,1.6596,13907,9897,912
Jul,,Algeria,,28.0339,1.6596,26764,18076,1146
Jan,Andorra,,42.5063,1.5218,0,0,0
Feb,Andorra,,42.5063,1.5218,0,0,0
Mar,Andorra,,42.5063,1.5218,376,10,12
Apr,Andorra,,42.5063,1.5218,745,468,42
May,Andorra,,42.5063,1.5218,764,694,51
Jun,Andorra,,42.5063,1.5218,855,799,52
Jul,,Andorra,,42.5063,1.5218,897,803,52
Jan,Angola,,-11.2027,17.8739,0,0,0
Feb,Angola,,-11.2027,17.8739,0,0,0
Mar,Angola,,-11.2027,17.8739,7,1,2
Apr,Angola,,-11.2027,17.8739,27,7,2
May,Angola,,-11.2027,17.8739,86,18,4
Jun,Angola,,-11.2027,17.8739,284,93,13
Jul,,Angola,,-11.2027,17.8739,916,242,39
Jan,Antigua and Barbuda,,17.0608,-61.7964,0,0,0
Feb,Antigua and Barbuda,,17.0608,-61.7964,0,0,0
Mar,Antigua and Barbuda,,17.0608,-61.7964,7,0,0
Apr,Antigua and Barbuda,,17.0608,-61.7964,24,11,3
May,Antigua and Barbuda,,17.0608,-61.7964,26,19,3
Jun,Antigua and Barbuda,,17.0608,-61.7964,69,22,3
Jul,,Antigua and Barbuda,,17.0608,-61.7964,82,60,3
Jan,Argentina,,-38.4161,-63.6167,0,0,0
Feb,Argentina,,-38.4161,-63.6167,0,0,0
Mar,Argentina,,-38.4161,-63.6167,1054,240,27
Apr,Argentina,,-38.4161,-63.6167,4428,1256,218
May,Argentina,,-38.4161,-63.6167,16851,5336,539
Jun,Argentina,,-38.4161,-63.6167,64530,22028,1307
Jul,,Argentina,,-38.4161,-63.6167,158334,68022,2893
Jan,Armenia,,40.0691,45.0382,0,0,0
Feb,Armenia,,40.0691,45.0382,0,0,0
Mar,Armenia,,40.0691,45.0382,532,30,3
